	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
88	GO:0000774	GO:0000166,GO:0000774,GO:0003674,GO:0005488,GO:0017076,GO:0030234,GO:0030554,GO:0036094,GO:0060589,GO:0060590,GO:0097159,GO:0098772,GO:1901265,GO:1901363	14	14.0	14.0	1.0	77124	0.00018152585446812924
89	GO:0000810	GO:0000810,GO:0003674,GO:0003824,GO:0016462,GO:0016787,GO:0016817,GO:0016818	5	1905.0	5.0	0.0026246719160104987	77124	6.483066231004616e-05
90	GO:0000822	GO:0000822,GO:0003674,GO:0005488,GO:0036094,GO:0043167,GO:0043168,GO:0043178	21	93.0	21.0	0.2258064516129032	77124	0.0002722887817021939
91	GO:0000823	GO:0000823,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016773,GO:0051766	6	24.0	6.0	0.25	77124	7.779679477205539e-05
92	GO:0000824	GO:0000824,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016773,GO:0051765	5	14.0	5.0	0.35714285714285715	77124	6.483066231004616e-05
93	GO:0000825	GO:0000825,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016773,GO:0051765	5	14.0	5.0	0.35714285714285715	77124	6.483066231004616e-05
94	GO:0000827	GO:0000827,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016776	5	142.0	5.0	0.035211267605633804	77124	6.483066231004616e-05
95	GO:0000828	GO:0000828,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016776	13	142.0	13.0	0.09154929577464788	77124	0.00016855972200612002
96	GO:0000829	GO:0000829,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016776	5	142.0	5.0	0.035211267605633804	77124	6.483066231004616e-05
97	GO:0000830	GO:0000828,GO:0000830,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016776	1	13.0	1.0	0.07692307692307693	77124	1.2966132462009232e-05
98	GO:0000831	GO:0000828,GO:0000831,GO:0003674,GO:0003824,GO:0016301,GO:0016740,GO:0016772,GO:0016776	2	13.0	2.0	0.15384615384615385	77124	2.5932264924018465e-05
