	0
GO:1901588	4
GO:0071458	16
GO:0035301	10
GO:0016035	8
GO:0031906	14
GO:0034777	2
GO:0005901	145
GO:0044853	188
GO:0005686	52
GO:0070274	3
GO:0000124	80
GO:0005669	78
GO:0000172	29
GO:0005732	150
GO:0036038	16
GO:0097452	7
GO:1990712	11
GO:0030289	16
GO:0005688	12
GO:1990726	8
GO:0005951	6
GO:0009527	46
GO:0009707	43
GO:0031969	118
GO:1990304	3
GO:1990071	27
GO:0098665	7
GO:0098666	7
GO:0060342	5
GO:1990907	26
GO:0005684	156
GO:0000798	15
GO:0030892	10
GO:0034990	8
GO:0061174	61
GO:0071212	21
GO:0016600	15
GO:0034448	6
GO:0039662	1
GO:0044230	1
GO:0044384	4
GO:0042405	21
GO:0031499	13
GO:0010598	12
GO:0033557	10
GO:0070090	9
GO:0005793	124
GO:0042612	6
GO:0042824	13
GO:0070971	79
GO:0035859	38
GO:0061700	17
GO:0017177	6
GO:0000178	92
GO:1905354	92
GO:0016580	11
GO:0070822	71
GO:0042629	10
GO:0032059	6
GO:0097227	7
GO:0035062	25
GO:0042599	33
GO:0097209	4
GO:0097232	11
GO:0097234	1
GO:0043659	1
GO:0043660	1
GO:0070111	1
GO:0020004	6
GO:0099522	48
GO:0099523	29
GO:0030445	56
GO:0012510	34
GO:0030121	25
GO:0030130	27
GO:0030140	67
GO:0030990	83
GO:0005945	13
GO:0005577	11
GO:0031091	99
GO:0031093	67
GO:0032839	31
GO:0120111	73
GO:0005868	52
GO:0032009	46
GO:0036186	5
GO:0061474	11
GO:0005608	3
GO:0043256	19
GO:0035101	10
GO:0048226	16
GO:0009528	65
GO:0009706	60
GO:0055120	72
GO:0070847	26
GO:1904115	18
GO:0031080	32
GO:0020007	60
GO:0020009	22
GO:0005885	51
GO:0019774	26
GO:0090543	39
GO:1990819	15
GO:0031021	19
GO:0031143	77
GO:0031260	6
GO:0033573	4
GO:1905862	4
GO:0044609	2
GO:0062201	6
GO:0070685	20
GO:0070687	8
GO:0044214	34
GO:1990315	5
GO:0044166	2
GO:0030061	23
GO:0000346	19
GO:0000347	32
GO:0000445	10
GO:0000446	4
GO:0005952	27
GO:0016342	34
GO:0005918	84
GO:0005920	7
GO:0035102	27
GO:0090404	18
GO:0020008	35
GO:1990225	8
GO:0044613	19
GO:0044614	13
GO:0010168	10
GO:0033588	20
GO:0000176	56
GO:0009380	3
GO:1905347	19
GO:0005832	53
GO:0009504	38
GO:0031466	13
GO:0005896	5
GO:0070110	3
GO:0032126	21
GO:0120155	3
GO:0000137	47
GO:0140220	24
GO:0140221	9
GO:0008385	13
GO:0071014	55
GO:1990769	6
GO:0046695	17
GO:0030446	73
GO:0000138	46
GO:0031092	17
GO:0070565	10
GO:0098691	20
GO:0071004	34
GO:0071010	35
GO:1903767	2
GO:1903768	2
GO:0035686	18
GO:0019033	38
GO:0000808	33
GO:0005664	32
GO:0044753	5
GO:0099078	8
GO:0033116	52
GO:0046729	10
GO:0044174	8
GO:0072493	1
GO:0000427	9
GO:0009508	18
GO:0042644	49
GO:0042646	56
GO:0030142	6
GO:0009521	48
GO:0009523	37
GO:0030075	32
GO:0030096	26
GO:0005662	30
GO:0030894	89
GO:0043601	81
GO:0005683	9
GO:0071204	10
GO:0033167	4
GO:0070578	19
GO:0005610	4
GO:0031019	39
GO:0045293	69
GO:0097386	52
GO:0097449	28
GO:0009274	28
GO:0009275	7
GO:0010339	12
GO:0030123	16
GO:0071439	10
GO:0017071	10
GO:0005689	26
GO:0071008	9
GO:0032390	2
GO:0035253	19
GO:0005682	29
GO:0071007	39
GO:0036019	33
GO:0036020	21
GO:1990060	3
GO:0043291	6
GO:0044615	27
GO:0034271	17
GO:0035032	30
GO:0010009	9
GO:0046691	5
GO:0015030	104
GO:0071598	26
GO:0099524	27
GO:0033178	36
GO:0045261	28
GO:0000786	67
GO:0061702	18
GO:0072557	5
GO:0000276	27
GO:0033177	38
GO:0045263	31
GO:0005751	30
GO:0031262	26
GO:0031617	32
GO:0035618	16
GO:0035619	8
GO:0032591	9
GO:0046581	10
GO:0005947	11
GO:0009353	6
GO:0030062	19
GO:0045239	35
GO:0045240	19
GO:0045252	14
GO:0010369	80
GO:0097165	13
GO:0008230	6
GO:0008231	2
GO:0008232	2
GO:0017119	31
GO:0062091	7
GO:0097504	10
GO:0030479	97
GO:0110131	2
GO:0005672	12
GO:1990229	5
GO:0035145	31
GO:0061574	3
GO:0016281	47
GO:0071006	22
GO:0071012	22
GO:0098015	71
GO:0000805	28
GO:0072487	16
GO:0036063	6
GO:0005858	47
GO:0043493	10
GO:0099091	41
GO:0099092	34
GO:0000133	11
GO:0005665	67
GO:0005825	11
GO:0140453	15
GO:1990230	2
GO:0097228	44
GO:0035003	29
GO:0098685	121
GO:0098888	18
GO:0098890	18
GO:0099243	34
GO:0031533	5
GO:0071595	4
GO:0030877	20
GO:0098690	19
GO:0045180	38
GO:0002199	11
GO:0043218	24
GO:0031469	22
GO:0031470	22
GO:1990526	3
GO:1990527	3
GO:0044569	4
GO:0031588	28
GO:0000110	7
GO:0031475	9
GO:0062039	74
GO:0062040	73
GO:0098723	12
GO:1990221	6
GO:0031304	93
GO:0031305	84
GO:0009355	2
GO:0002102	35
GO:0061825	3
GO:0071437	2
GO:0071821	7
GO:0000811	17
GO:1902710	15
GO:1902711	9
GO:0150051	1
GO:0005588	8
GO:0120199	6
GO:0009289	37
GO:0033391	24
GO:0000311	3
GO:0009547	5
GO:0035363	19
GO:0030014	58
GO:0099026	13
GO:0099144	20
GO:1990633	5
