	0
GO:0090031	21
GO:0090090	347
GO:0120035	1860
GO:1900024	84
GO:1900026	59
GO:1902074	105
GO:1902532	1164
GO:1902930	142
GO:1902932	59
GO:2000298	7
GO:2000831	64
GO:2000833	45
GO:2000846	35
GO:2000848	22
GO:2000855	17
GO:2000857	11
GO:2000858	17
GO:2000860	11
GO:0019062	53
GO:0022610	1714
GO:0039666	3
GO:0044406	226
GO:0044650	79
GO:0003333	213
GO:0006820	1657
GO:0006865	447
GO:0015711	1274
GO:0015802	60
GO:0015807	184
GO:0015809	38
GO:0015849	879
GO:0032006	272
GO:0043090	130
GO:0046942	866
GO:0071705	4046
GO:0089718	99
GO:0097638	17
GO:0098656	549
GO:0098657	457
GO:0098739	321
GO:1902023	25
GO:1902475	133
GO:1903400	22
GO:1903825	349
GO:1903826	23
GO:1905039	347
GO:1990822	31
GO:0032781	69
GO:0043085	2039
GO:0043462	127
GO:0044093	2775
GO:0051336	1688
GO:0051345	937
GO:0001775	1598
GO:0002252	1715
GO:0002263	716
GO:0002274	724
GO:0002275	576
GO:0002283	497
GO:0002366	712
GO:0002376	6047
GO:0002443	847
GO:0002444	556
GO:0002446	518
GO:0006887	998
GO:0006955	2657
GO:0016192	3670
GO:0032940	1594
GO:0036230	523
GO:0042119	518
GO:0043299	521
GO:0043312	487
GO:0045055	815
GO:0045321	1347
GO:0046903	1831
GO:0050900	622
GO:0140352	1745
GO:0006952	4143
GO:0009620	912
GO:0010119	94
GO:0016567	1005
GO:0032446	1192
GO:0050832	631
GO:0090333	29
GO:0098542	3308
GO:0007585	55
GO:1902600	220
GO:0007165	9209
GO:0007166	3953
GO:0007167	1416
GO:0007169	894
GO:0008286	153
GO:0008380	1057
GO:0010243	2576
GO:0032868	492
GO:0032869	330
GO:0032870	1569
GO:0034097	1855
GO:0043434	885
GO:0071345	1654
GO:0071375	502
GO:0071417	1260
GO:1901652	1036
GO:1901653	610
GO:1901698	2865
GO:1901699	1420
GO:1901701	3167
GO:1990823	316
GO:1990830	315
GO:0006109	513
GO:0009793	416
GO:0009960	35
GO:0010154	878
GO:0010228	176
GO:0010262	18
GO:0010439	11
GO:0010557	4780
GO:0010604	8965
GO:0010628	6344
GO:0010675	362
GO:0019217	244
GO:0031099	883
GO:0042304	131
GO:0042592	5084
GO:0042762	92
GO:0043255	240
GO:0043455	197
GO:0045723	69
GO:0045893	4238
GO:0045923	108
GO:0045935	4815
GO:0048316	830
GO:0048608	2577
GO:0048878	3199
GO:0050801	2231
GO:0051173	7713
GO:0051254	4446
GO:0055081	189
GO:0055088	456
GO:0055089	29
GO:0061458	2597
GO:0080050	61
GO:1900376	142
GO:1902680	4244
GO:1903508	4241
GO:2000014	12
GO:2001279	26
GO:2001280	17
GO:0000280	1422
GO:0006351	1240
GO:0006352	365
GO:0006357	4746
GO:0007127	536
GO:0007140	236
GO:0007141	76
GO:0009059	5198
GO:0018130	3445
GO:0019438	3443
GO:0032774	1270
GO:0034645	4997
GO:0034654	2499
GO:0045944	2830
GO:0048285	1534
GO:0051037	48
GO:0051039	32
GO:0051321	1377
GO:0061982	629
GO:0097659	1244
GO:0140013	892
GO:1901362	4123
GO:1903046	1264
GO:0006805	238
GO:0006809	47
GO:0009410	414
GO:0009636	723
GO:0042126	27
GO:0046209	59
GO:0051410	18
GO:0070458	9
GO:0071466	327
GO:0072593	321
GO:0097237	148
GO:0098754	338
GO:1903409	80
GO:1990748	123
GO:2001057	82
GO:0032409	564
GO:0032410	166
GO:0034762	977
GO:0034763	243
GO:0051051	1014
GO:0006873	1617
GO:0006874	820
GO:0006875	1339
GO:0007186	1611
GO:0007187	434
GO:0007188	398
GO:0007189	227
GO:0007200	138
GO:0007204	438
GO:0008582	300
GO:0019725	2362
GO:0019932	614
GO:0019933	308
GO:0019935	343
GO:0030003	1568
GO:0035556	2794
GO:0044087	2693
GO:0045886	105
GO:0048638	1532
GO:0048640	403
GO:0050803	826
GO:0050807	769
GO:0051480	532
GO:0051482	38
GO:0051963	486
GO:0051964	129
GO:0055065	1672
GO:0055074	936
GO:0055080	1956
GO:0055082	1880
GO:0072503	892
GO:0072507	1066
GO:0098771	1993
GO:1901888	627
GO:1901889	159
GO:1904396	318
GO:1904397	107
GO:1905809	161
GO:0000122	1734
GO:0007507	2304
GO:0007568	1365
GO:0009612	750
GO:0009991	2457
GO:0031667	2185
GO:0032355	359
GO:0035561	41
GO:0035563	23
GO:0042711	20
GO:0044030	103
GO:0048568	2196
GO:0051052	877
GO:0051098	683
GO:0051099	319
GO:0060746	21
GO:0071407	1165
GO:0072359	3640
GO:0006576	305
GO:0006595	129
GO:0006598	42
GO:0008215	29
GO:0008216	52
GO:0009308	382
GO:0009310	107
GO:0009445	30
GO:0009447	12
GO:0042402	106
GO:0044106	334
GO:0046203	8
GO:0046208	13
GO:0007029	253
GO:0007097	254
GO:0007522	64
GO:0007523	50
GO:0008335	36
GO:0010256	1048
GO:0031032	687
GO:0034453	76
GO:0051643	39
GO:0060361	42
GO:0008277	272
GO:0010969	17
GO:0031137	171
GO:0045744	83
GO:0046999	174
GO:0060238	17
GO:0060240	6
GO:0090029	6
GO:2000242	351
GO:0050727	811
GO:0050728	458
GO:0080167	128
GO:0006638	248
GO:0006639	245
GO:0006641	193
GO:0019433	47
GO:0030522	268
GO:0046461	67
GO:0046464	65
GO:0046486	1008
GO:0046503	118
GO:0001701	641
GO:0006163	871
GO:0006164	403
GO:0006171	39
GO:0006753	1223
GO:0006793	5786
GO:0006796	5656
GO:0009117	1174
GO:0009150	813
GO:0009152	376
GO:0009165	602
GO:0009187	91
GO:0009190	58
GO:0009259	860
GO:0009260	408
GO:0019637	2693
GO:0019693	877
GO:0043009	2307
GO:0046058	52
GO:0046390	421
GO:0052652	55
GO:0055086	1643
GO:0072521	1035
GO:0072522	470
GO:0090407	1463
GO:1901135	3371
GO:1901137	2036
GO:1901293	636
GO:1903307	89
GO:0044075	1
GO:0044088	111
GO:0045454	132
GO:0009435	57
GO:0019359	72
GO:0019362	101
GO:0019363	76
GO:0046496	97
GO:0072524	179
GO:0072525	117
GO:0030198	697
GO:0042633	114
GO:0043062	752
GO:0000956	490
GO:0006401	710
GO:0006402	579
GO:0008334	49
GO:0009895	621
GO:0016071	1894
GO:0031330	497
GO:0034655	1037
GO:0043487	346
GO:0043489	131
GO:0043631	124
GO:0044270	1333
GO:0046700	1312
