	child_node	joint_count	joint_count_child	cond_prob
152	GO:0000425	17.0	13.0	0.7647058823529411
153	GO:0000426	12.0	2.0	0.16666666666666666
154	GO:0000429	59.0	56.0	0.9491525423728814
155	GO:0000430	28.0	28.0	1.0
156	GO:0000431	10.0	10.0	1.0
157	GO:0000432	6.0	6.0	1.0
158	GO:0000433	19.0	19.0	1.0
159	GO:0000434	0.0	0.0	
160	GO:0000435	9.0	9.0	1.0
161	GO:0000436	32.0	32.0	1.0
162	GO:0000437	12.0	4.0	0.3333333333333333
163	GO:0000447	61.0	61.0	1.0
164	GO:0000448	24.0	21.0	0.875
165	GO:0000449	94.0	0.0	0.0
166	GO:0000450	94.0	0.0	0.0
167	GO:0000451	153.0	19.0	0.12418300653594772
168	GO:0000452	19.0	2.0	0.10526315789473684
169	GO:0000453	19.0	4.0	0.21052631578947367
170	GO:0000454	54.0	12.0	0.2222222222222222
171	GO:0000455	54.0	13.0	0.24074074074074073
172	GO:0000457	0.0	0.0	
173	GO:0000458	0.0	0.0	
174	GO:0000459	23.0	23.0	1.0
175	GO:0000460	737.0	134.0	0.18181818181818182
176	GO:0000461	5.0	5.0	1.0
177	GO:0000462	149.0	127.0	0.8523489932885906
178	GO:0000463	68.0	60.0	0.8823529411764706
179	GO:0000464	24.0	3.0	0.125
180	GO:0000465	2.0	2.0	1.0
181	GO:0000466	134.0	122.0	0.9104477611940298
182	GO:0000467	21.0	21.0	1.0
183	GO:0000468	0.0	0.0	
184	GO:0000469	121.0	121.0	1.0
185	GO:0000470	99.0	68.0	0.6868686868686869
186	GO:0000471	87.0	0.0	0.0
187	GO:0000472	37.0	37.0	1.0
188	GO:0000473	68.0	0.0	0.0
189	GO:0000474	149.0	0.0	0.0
190	GO:0000475	737.0	0.0	0.0
191	GO:0000476	737.0	2.0	0.0027137042062415195
192	GO:0000477	4.0	0.0	0.0
193	GO:0000478	94.0	94.0	1.0
194	GO:0000479	94.0	87.0	0.925531914893617
195	GO:0000480	65.0	38.0	0.5846153846153846
196	GO:0000481	737.0	3.0	0.004070556309362279
197	GO:0000482	3.0	0.0	0.0
198	GO:0000483	94.0	1.0	0.010638297872340425
199	GO:0000484	0.0	0.0	
200	GO:0000485	0.0	0.0	
201	GO:0000486	0.0	0.0	
202	GO:0000487	134.0	0.0	0.0
203	GO:0000488	68.0	1.0	0.014705882352941176
204	GO:0000489	149.0	1.0	0.006711409395973154
205	GO:0000491	450.0	23.0	0.051111111111111114
206	GO:0000492	23.0	17.0	0.7391304347826086
207	GO:0000493	23.0	5.0	0.21739130434782608
208	GO:0000494	5.0	5.0	1.0
209	GO:0000495	2.0	2.0	1.0
210	GO:0000578	334.0	318.0	0.9520958083832335
211	GO:0000705	536.0	8.0	0.014925373134328358
212	GO:0000706	28.0	25.0	0.8928571428571429
213	GO:0000707	13.0	9.0	0.6923076923076923
214	GO:0000708	11.0	6.0	0.5454545454545454
215	GO:0000709	252.0	12.0	0.047619047619047616
216	GO:0000710	29.0	16.0	0.5517241379310345
217	GO:0000711	10.0	7.0	0.7
218	GO:0000712	44.0	44.0	1.0
219	GO:0000713	282.0	1.0	0.0035460992907801418
220	GO:0000714	2.0	1.0	0.5
221	GO:0000715	102.0	31.0	0.30392156862745096
222	GO:0000716	18.0	1.0	0.05555555555555555
223	GO:0000717	30.0	24.0	0.8
224	GO:0000718	0.0	0.0	
225	GO:0000719	25.0	11.0	0.44
226	GO:0000720	8.0	7.0	0.875
227	GO:0000722	62.0	55.0	0.8870967741935484
228	GO:0000723	350.0	350.0	1.0
229	GO:0000724	342.0	337.0	0.9853801169590644
230	GO:0000725	481.0	363.0	0.7546777546777547
231	GO:0000726	1512.0	186.0	0.12301587301587301
232	GO:0000727	337.0	27.0	0.08011869436201781
233	GO:0000728	2.0	0.0	0.0
234	GO:0000729	644.0	53.0	0.08229813664596274
235	GO:0000730	17.0	17.0	1.0
236	GO:0000731	147.0	119.0	0.8095238095238095
237	GO:0000732	778.0	4.0	0.005141388174807198
238	GO:0000733	85.0	15.0	0.17647058823529413
239	GO:0000734	0.0	0.0	
240	GO:0000735	2626.0	8.0	0.0030464584920030465
241	GO:0000736	6.0	6.0	1.0
242	GO:0000737	59.0	51.0	0.864406779661017
243	GO:0000738	59.0	12.0	0.2033898305084746
244	GO:0000740	191.0	4.0	0.020942408376963352
245	GO:0000741	80.0	76.0	0.95
246	GO:0000742	28.0	27.0	0.9642857142857143
247	GO:0000743	13.0	9.0	0.6923076923076923
248	GO:0000744	0.0	0.0	
249	GO:0000745	0.0	0.0	
250	GO:0000746	247.0	126.0	0.5101214574898786
251	GO:0000747	109.0	109.0	1.0
252	GO:0000748	126.0	0.0	0.0
253	GO:0000749	95.0	93.0	0.9789473684210527
254	GO:0000750	48.0	48.0	1.0
255	GO:0000751	4.0	4.0	1.0
256	GO:0000752	6.0	6.0	1.0
257	GO:0000753	13.0	13.0	1.0
258	GO:0000754	24.0	24.0	1.0
259	GO:0000755	24.0	20.0	0.8333333333333334
260	GO:0000756	55.0	1.0	0.01818181818181818
261	GO:0000758	0.0	0.0	
262	GO:0000759	0.0	0.0	
263	GO:0000760	1.0	1.0	1.0
264	GO:0000761	0.0	0.0	
265	GO:0000762	4.0	0.0	0.0
266	GO:0000765	98.0	0.0	0.0
267	GO:0000766	0.0	0.0	
268	GO:0000767	14.0	14.0	1.0
269	GO:0000768	173.0	173.0	1.0
270	GO:0000769	190.0	1.0	0.005263157894736842
271	GO:0000770	126.0	5.0	0.03968253968253968
272	GO:0000771	6.0	6.0	1.0
