	node	path	count_node	joint_count	joint_count_child	cond_prob	count_ancestor	rel_freq
53	GO:0000323	GO:0000323,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	1318	2477.0	1318.0	0.5320952765442067	82350	0.016004857316332725
54	GO:0000324	GO:0000322,GO:0000323,GO:0000324,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	282	283.0	282.0	0.9964664310954064	82350	0.003424408014571949
55	GO:0000325	GO:0000325,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	166	2477.0	166.0	0.06701655228098506	82350	0.00201578627808136
56	GO:0000326	GO:0000322,GO:0000325,GO:0000326,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	17	17.0	17.0	1.0	82350	0.00020643594414086218
57	GO:0000327	GO:0000322,GO:0000323,GO:0000325,GO:0000326,GO:0000327,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	1	1.0	1.0	1.0	82350	1.2143290831815421e-05
58	GO:0000328	GO:0000322,GO:0000323,GO:0000324,GO:0000328,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0005775,GO:0031974,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0110165	21	24.0	21.0	0.875	82350	0.00025500910746812386
59	GO:0000329	GO:0000322,GO:0000323,GO:0000324,GO:0000329,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0005774,GO:0016020,GO:0031090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098588,GO:0098805,GO:0098852,GO:0110165	188	188.0	188.0	1.0	82350	0.0022829386763812995
60	GO:0000331	GO:0000331,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0031410,GO:0031982,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0062159,GO:0097708,GO:0110165	53	53.0	53.0	1.0	82350	0.0006435944140862174
61	GO:0000333	GO:0000333,GO:0005575,GO:0005622,GO:0005634,GO:0005697,GO:0032991,GO:0042575,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0061695,GO:0110165,GO:1902494,GO:1990234,GO:1990904	12	12.0	12.0	1.0	82350	0.00014571948998178506
62	GO:0000345	GO:0000345,GO:0000428,GO:0005575,GO:0005622,GO:0005737,GO:0005829,GO:0030880,GO:0032991,GO:0061695,GO:0110165,GO:1902494,GO:1990234	1	47.0	1.0	0.02127659574468085	82350	1.2143290831815421e-05
63	GO:0000346	GO:0000346,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	19	6080.0	19.0	0.003125	82350	0.000230722525804493
64	GO:0000347	GO:0000347,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	32	6080.0	32.0	0.005263157894736842	82350	0.0003885853066180935
65	GO:0000399	GO:0000399,GO:0005575,GO:0005933,GO:0005935,GO:0030427,GO:0032153,GO:0110165	29	50.0	29.0	0.58	82350	0.0003521554341226472
66	GO:0000407	GO:0000407,GO:0005575,GO:0005622,GO:0005737,GO:0110165	91	44416.0	91.0	0.0020488112391930835	82350	0.0011050394656952035
67	GO:0000408	GO:0000408,GO:0005575,GO:0005622,GO:0032991	17	12382.0	17.0	0.0013729607494750446	82350	0.00020643594414086218
68	GO:0000417	GO:0000417,GO:0005575,GO:0032991	9	14985.0	9.0	0.0006006006006006006	82350	0.0001092896174863388
69	GO:0000418	GO:0000418,GO:0000428,GO:0005575,GO:0005622,GO:0005634,GO:0030880,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0055029,GO:0061695,GO:0110165,GO:1902494,GO:1990234	14	340.0	14.0	0.041176470588235294	82350	0.00017000607164541592
70	GO:0000419	GO:0000419,GO:0000428,GO:0005575,GO:0005622,GO:0005634,GO:0030880,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0055029,GO:0061695,GO:0110165,GO:1902494,GO:1990234	21	340.0	21.0	0.06176470588235295	82350	0.00025500910746812386
71	GO:0000421	GO:0000421,GO:0005575,GO:0005622,GO:0005737,GO:0005773,GO:0005774,GO:0005776,GO:0016020,GO:0031090,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0098588,GO:0098805,GO:0110165	46	51.0	46.0	0.9019607843137256	82350	0.0005585913782635094
72	GO:0000427	GO:0000427,GO:0000428,GO:0005575,GO:0005622,GO:0005737,GO:0009536,GO:0030880,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0061695,GO:0110165,GO:1902494,GO:1990234	9	9.0	9.0	1.0	82350	0.0001092896174863388
73	GO:0000428	GO:0000428,GO:0005575,GO:0005622,GO:0030880,GO:0032991,GO:0061695,GO:1902494,GO:1990234	355	364.0	355.0	0.9752747252747253	82350	0.004310868245294475
74	GO:0000438	GO:0000428,GO:0000438,GO:0000439,GO:0005575,GO:0005622,GO:0005634,GO:0005654,GO:0005667,GO:0005675,GO:0016591,GO:0030880,GO:0031974,GO:0031981,GO:0032806,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0055029,GO:0061695,GO:0070013,GO:0090575,GO:0110165,GO:1902494,GO:1902554,GO:1902911,GO:1990234	3	25.0	3.0	0.12	82350	3.6429872495446266e-05
75	GO:0000439	GO:0000439,GO:0005575,GO:0005622,GO:0005634,GO:0005667,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0090575,GO:0110165	27	361.0	27.0	0.07479224376731301	82350	0.0003278688524590164
76	GO:0000444	GO:0000444,GO:0000775,GO:0000776,GO:0000777,GO:0000779,GO:0000793,GO:0005575,GO:0005622,GO:0005694,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0099080,GO:0110165	11	135.0	11.0	0.08148148148148149	82350	0.00013357619914996965
77	GO:0000445	GO:0000346,GO:0000347,GO:0000445,GO:0005575,GO:0005622,GO:0005634,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0110165	10	10.0	10.0	1.0	82350	0.00012143290831815422
78	GO:0000446	GO:0000347,GO:0000446,GO:0005575,GO:0005622,GO:0005634,GO:0005654,GO:0008023,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0070013,GO:0110165	4	4.0	4.0	1.0	82350	4.8573163327261686e-05
79	GO:0000500	GO:0000120,GO:0000500,GO:0005575,GO:0005622,GO:0005634,GO:0005667,GO:0005730,GO:0031974,GO:0031981,GO:0032991,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0110165	8	26.0	8.0	0.3076923076923077	82350	9.714632665452337e-05
80	GO:0000502	GO:0000502,GO:0005575,GO:0005622,GO:0032991,GO:1902494,GO:1905368,GO:1905369	336	358.0	336.0	0.9385474860335196	82350	0.004080145719489982
81	GO:0000506	GO:0000506,GO:0005575,GO:0005789,GO:0012505,GO:0016020,GO:0031090,GO:0032991,GO:0042175,GO:0043226,GO:0043227,GO:0098796,GO:0110165,GO:1902494,GO:1990234	15	92.0	15.0	0.16304347826086954	82350	0.00018214936247723133
82	GO:0000775	GO:0000775,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0110165	704	1081.0	704.0	0.6512488436632747	82350	0.008548876745598058
83	GO:0000776	GO:0000775,GO:0000776,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0099080,GO:0110165	460	462.0	460.0	0.9956709956709956	82350	0.005585913782635094
84	GO:0000777	GO:0000775,GO:0000776,GO:0000777,GO:0000779,GO:0000793,GO:0005575,GO:0005622,GO:0005694,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0098687,GO:0099080,GO:0110165	184	200.0	184.0	0.92	82350	0.0022343655130540375
85	GO:0000778	GO:0000228,GO:0000775,GO:0000776,GO:0000777,GO:0000778,GO:0000779,GO:0000780,GO:0000793,GO:0000794,GO:0005575,GO:0005622,GO:0005634,GO:0005694,GO:0031974,GO:0031981,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0070013,GO:0098687,GO:0099080,GO:0110165	134	134.0	134.0	1.0	82350	0.0016272009714632665
